,place_name,population,state_fips,county_fips,tract_fips,year,source,GEOID
0,"Census Tract 7442, Washington County, Pennsylvania",3263,42,125,744200,2019,ACS 2019,42125744200
1,"Census Tract 7545, Washington County, Pennsylvania",2519,42,125,754500,2019,ACS 2019,42125754500
2,"Census Tract 7551, Washington County, Pennsylvania",4041,42,125,755100,2019,ACS 2019,42125755100
3,"Census Tract 7712, Washington County, Pennsylvania",3047,42,125,771200,2019,ACS 2019,42125771200
4,"Census Tract 103.04, Erie County, Pennsylvania",4278,42,49,10304,2019,ACS 2019,42049010304
5,"Census Tract 105, Erie County, Pennsylvania",3659,42,49,10500,2019,ACS 2019,42049010500
6,"Census Tract 109.03, Erie County, Pennsylvania",6435,42,49,10903,2019,ACS 2019,42049010903
7,"Census Tract 110.02, Erie County, Pennsylvania",4870,42,49,11002,2019,ACS 2019,42049011002
8,"Census Tract 111.01, Erie County, Pennsylvania",5417,42,49,11101,2019,ACS 2019,42049011101
9,"Census Tract 118.01, Erie County, Pennsylvania",2759,42,49,11801,2019,ACS 2019,42049011801
10,"Census Tract 11, Erie County, Pennsylvania",2780,42,49,1100,2019,ACS 2019,42049001100
11,"Census Tract 25, Erie County, Pennsylvania",2425,42,49,2500,2019,ACS 2019,42049002500
12,"Census Tract 27, Erie County, Pennsylvania",6839,42,49,2700,2019,ACS 2019,42049002700
13,"Census Tract 102.02, Erie County, Pennsylvania",5311,42,49,10202,2019,ACS 2019,42049010202
14,"Census Tract 103.01, Erie County, Pennsylvania",4851,42,49,10301,2019,ACS 2019,42049010301
15,"Census Tract 115.07, Erie County, Pennsylvania",3221,42,49,11507,2019,ACS 2019,42049011507
16,"Census Tract 116, Erie County, Pennsylvania",4108,42,49,11600,2019,ACS 2019,42049011600
17,"Census Tract 122.01, Erie County, Pennsylvania",6030,42,49,12201,2019,ACS 2019,42049012201
18,"Census Tract 102.01, Erie County, Pennsylvania",5932,42,49,10201,2019,ACS 2019,42049010201
19,"Census Tract 15, Erie County, Pennsylvania",3107,42,49,1500,2019,ACS 2019,42049001500
20,"Census Tract 16, Erie County, Pennsylvania",4413,42,49,1600,2019,ACS 2019,42049001600
21,"Census Tract 23, Erie County, Pennsylvania",2708,42,49,2300,2019,ACS 2019,42049002300
22,"Census Tract 104, Erie County, Pennsylvania",4776,42,49,10400,2019,ACS 2019,42049010400
23,"Census Tract 109.02, Erie County, Pennsylvania",4319,42,49,10902,2019,ACS 2019,42049010902
24,"Census Tract 112.01, Erie County, Pennsylvania",4555,42,49,11201,2019,ACS 2019,42049011201
25,"Census Tract 17, Erie County, Pennsylvania",2642,42,49,1700,2019,ACS 2019,42049001700
26,"Census Tract 21, Erie County, Pennsylvania",3714,42,49,2100,2019,ACS 2019,42049002100
27,"Census Tract 26, Erie County, Pennsylvania",3840,42,49,2600,2019,ACS 2019,42049002600
