PLACEKEY,HOME_CBG,VISITOR_COUNT,HOME_CBG_LAT,HOME_CBG_LON,LOCATION_NAME,BRANDS,TOP_CATEGORY,SUB_CATEGORY,POI_CBG,LATITUDE,LONGITUDE,STREET_ADDRESS,CITY,REGION
zzw-226@63p-vks-ndv,420270116002,3738,40.8334664667,-77.8113462946,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270110003,1928,40.8899341269,-77.7568042719,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270107003,1537,40.9384003478,-77.6640678954,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270112012,1380,40.8644631348,-77.8056326399,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270117021,1116,40.815463245,-77.7924730875,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270116001,1047,40.8206443299,-77.8507453915,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270107002,921,40.952123079,-77.5982009516,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270110002,891,40.8973342643,-77.714955256,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270109004,891,40.8448045454,-77.6850654695,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270110005,872,40.8689620359,-77.7280027249,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270111005,852,40.9094355648,-77.780113884,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270106001,832,41.0003013438,-77.8209031059,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270105001,793,40.9401309119,-77.9029978216,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270112011,773,40.8895554544,-77.8522660899,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270111001,754,40.9151635015,-77.7549041189,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270119022,724,40.7445626531,-77.9696428448,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270110001,686,40.9262139947,-77.7730490336,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270106003,656,40.9735294529,-77.764476097,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270125001,646,40.797144626,-77.8565480222,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270109002,646,40.8209678748,-77.5590320356,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270113005,646,40.8121198439,-77.8924569529,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270102001,637,41.1081973414,-77.9412219774,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270109005,627,40.8149985369,-77.6943823306,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270101001,607,41.0936457037,-77.739595495,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270119011,597,40.7730087145,-78.0241405897,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270125002,587,40.7926268723,-77.8605908126,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270113001,587,40.8131588945,-77.9079668045,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270106002,587,40.9425031938,-77.791908508,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270117023,578,40.7825261194,-77.8283642858,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420350308003,558,41.0288669804,-77.5155596974,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270115011,558,40.7717361269,-77.8761728895,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270118003,558,40.7618688569,-77.7641663142,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270109003,549,40.8425370758,-77.6470773831,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270110004,538,40.8540095848,-77.736711545,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270114002,489,40.8070878948,-77.9536814866,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270118001,460,40.7785688843,-77.8041813191,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270111006,460,40.9099862624,-77.7711387319,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270105003,460,40.7906286475,-78.119308705,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270108004,451,40.856776816,-77.4910553576,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270101004,451,41.0089960247,-77.6901141446,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270111002,451,40.9142565912,-77.784107917,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270117022,451,40.8068825143,-77.8278986372,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270109006,411,40.7729690178,-77.6452382914,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270105002,411,40.8684322585,-77.9767498233,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270108002,392,40.9012311813,-77.3625392079,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270113002,392,40.8175729094,-77.8906667343,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270115021,392,40.8078136807,-77.8845657897,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270107001,382,40.9858218986,-77.6425935611,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270113004,372,40.8246129678,-77.8848978272,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270128002,352,40.7740500984,-77.8576200845,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420350308002,343,41.0546450949,-77.4366510904,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270115023,343,40.7864543455,-77.889048885,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270126001,343,40.7899389985,-77.858013458,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270109001,343,40.8894467164,-77.5829887399,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270124003,343,40.7898546563,-77.866194909,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270111003,333,40.9157545801,-77.7730739873,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270115024,294,40.8013692233,-77.8920311929,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270108003,294,40.8936176536,-77.4765360585,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270127002,294,40.7877832608,-77.8442770521,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270111004,294,40.9175146205,-77.7672074507,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270120003,285,40.799035539,-77.8506455307,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270108001,285,40.9649571288,-77.3705247161,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270122003,285,40.7933596575,-77.8711397153,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420619502002,285,40.6892572602,-78.1471116966,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270121002,285,40.796653917,-77.8615239798,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420879606001,274,40.591159295,-77.642644591,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270122002,274,40.8010732923,-77.8639520769,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270101002,265,41.049760674,-77.6247994703,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270127003,265,40.7824890154,-77.8431709059,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420879602001,255,40.6902232963,-77.6456113207,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270119021,255,40.741889504,-77.873279386,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270113003,245,40.8408660995,-77.9092632813,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270118002,245,40.7701331453,-77.7823578912,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270101003,245,41.0165419736,-77.6578722812,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420350302005,245,41.104498205,-77.4888277202,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270122001,245,40.8059926133,-77.8620148714,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270105004,235,40.8003167527,-78.0522857606,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270114001,235,40.8036480254,-77.9089639513,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270119023,235,40.7137712282,-77.9386372234,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420350307002,225,41.1299127788,-77.4594566281,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270120005,225,40.7949011401,-77.8538206415,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420333310002,216,41.0248317859,-78.2987028608,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270126002,206,40.787976952,-77.8531539595,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270102002,206,41.0275732673,-77.9499022016,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270120001,206,40.797392488,-77.8465409535,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270102003,206,41.0039239892,-77.9927272952,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270121003,206,40.8011668707,-77.8571985682,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270128003,206,40.7778089709,-77.8594700332,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270121001,196,40.8009569237,-77.8544594049,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420333308005,196,40.9373592937,-78.2146550466,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270115022,196,40.7955752176,-77.9035191138,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420350303002,196,41.1703963639,-77.4261532168,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420350307005,177,41.138680389,-77.450970049,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270128001,177,40.7782577488,-77.8658094638,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420333308003,177,40.9742886945,-78.1229706026,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420333309002,157,40.8892456041,-78.2546141345,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270103001,157,40.8986445209,-78.2230327169,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270114003,157,40.8064047005,-77.9203862577,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420333310004,157,40.9457428064,-78.3701139689,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270104003,157,40.7941351132,-78.2840673322,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420350305003,147,41.1218967815,-77.4167412532,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420350302001,147,41.1612104494,-77.7202093125,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420350305001,147,41.1459923078,-77.4769371753,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420879608004,147,40.5934663799,-77.5925700927,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270104002,147,40.8588067599,-78.1365637945,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420350302003,147,41.0745495341,-77.5852019265,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270124002,147,40.784322936,-77.8682768404,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420350303001,137,41.2581106021,-77.5388925683,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420350304002,137,41.2032295897,-77.3516048341,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270124001,137,40.7853539795,-77.8591541357,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420333308004,137,40.9675613027,-78.2098857267,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270104001,128,40.9383898179,-78.0838689538,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270103003,128,40.8887292728,-78.2150600668,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420350305004,128,41.1250147521,-77.4667165297,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420130101012,128,40.7136459364,-78.2495088013,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420333307002,128,41.1475246978,-78.1579324319,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
zzw-226@63p-vks-ndv,420270127001,128,40.7933258031,-77.8350158318,Nittany Mall,,Lessors of Real Estate,Malls,420270116002,40.832309,-77.8012,2901 E College Ave,State College,PA
