B19001_001E:Total:,B19013_001E:Median household income in the past 12 months (in 2021 inflation-adjusted dollars),state_fips,county_fips,tract_fips,year,source
1061,73233,42,001,030101,2021,ACS 2021
812,103438,42,001,030103,2021,ACS 2021
1256,68984,42,001,030104,2021,ACS 2021
2069,60438,42,001,030200,2021,ACS 2021
1657,80614,42,001,030300,2021,ACS 2021
2150,83173,42,001,030400,2021,ACS 2021
1523,59414,42,001,030500,2021,ACS 2021
1720,69620,42,001,030600,2021,ACS 2021
2690,74519,42,001,030700,2021,ACS 2021
1268,67177,42,001,030801,2021,ACS 2021
659,63445,42,001,030802,2021,ACS 2021
912,83258,42,001,030803,2021,ACS 2021
1361,61339,42,001,030901,2021,ACS 2021
1864,60699,42,001,030902,2021,ACS 2021
779,74188,42,001,031000,2021,ACS 2021
2168,56234,42,001,031101,2021,ACS 2021
1406,90724,42,001,031102,2021,ACS 2021
1450,87546,42,001,031201,2021,ACS 2021
1010,86544,42,001,031202,2021,ACS 2021
1212,81154,42,001,031203,2021,ACS 2021
1853,68633,42,001,031300,2021,ACS 2021
1886,95510,42,001,031401,2021,ACS 2021
978,76105,42,001,031402,2021,ACS 2021
521,60750,42,001,031501,2021,ACS 2021
1783,43175,42,001,031502,2021,ACS 2021
2820,88438,42,001,031600,2021,ACS 2021
1040,69531,42,001,031700,2021,ACS 2021
0,-666666666,42,003,010301,2021,ACS 2021
312,31875,42,003,010302,2021,ACS 2021
2243,99420,42,003,020100,2021,ACS 2021
1050,112899,42,003,020300,2021,ACS 2021
1556,29438,42,003,030500,2021,ACS 2021
468,28750,42,003,040200,2021,ACS 2021
1024,66310,42,003,040400,2021,ACS 2021
1027,13886,42,003,040500,2021,ACS 2021
821,29132,42,003,040600,2021,ACS 2021
1598,24578,42,003,040900,2021,ACS 2021
910,27574,42,003,050100,2021,ACS 2021
879,41673,42,003,050600,2021,ACS 2021
754,12130,42,003,050900,2021,ACS 2021
840,15846,42,003,051000,2021,ACS 2021
193,25268,42,003,051100,2021,ACS 2021
1308,86667,42,003,060300,2021,ACS 2021
630,60250,42,003,060500,2021,ACS 2021
1107,64250,42,003,070300,2021,ACS 2021
1594,63966,42,003,070500,2021,ACS 2021
1321,80898,42,003,070600,2021,ACS 2021
1649,84827,42,003,070800,2021,ACS 2021
2365,40327,42,003,070900,2021,ACS 2021
993,53229,42,003,080200,2021,ACS 2021
942,44643,42,003,080400,2021,ACS 2021
1079,63517,42,003,080600,2021,ACS 2021
1266,36361,42,003,080700,2021,ACS 2021
1114,51630,42,003,080900,2021,ACS 2021
1214,74625,42,003,090100,2021,ACS 2021
1377,71853,42,003,090200,2021,ACS 2021
852,58750,42,003,090300,2021,ACS 2021
893,61932,42,003,100500,2021,ACS 2021
1190,62250,42,003,101100,2021,ACS 2021
1524,70764,42,003,101400,2021,ACS 2021
1263,78050,42,003,101800,2021,ACS 2021
